district_id,state,district,latitude,longitude,district_area_sq_km,population,population_density,average_rainfall,maximum_rainfall,annual_actual_rainfall,rainfall_departure_pct,heavy_rainfall_days,historical_disaster_count,historical_flood_count,historical_landslide_count,historical_cyclone_count,landslide_event_count,cyclone_track_count,cyclone_exposure_count,max_cyclone_wind,total_households,good_houses,livable_houses,dilapidated_houses,dilapidated_house_pct,hospital_count,hospital_bed_count
DIST_IND_015,JAMMU AND KASHMIR,Kulgam,33.59847,74.844062,1172.8,424483,361.94,2.01,28.6,38.2,0.0,0.0,0,0,0,0,0,0,0,0.0,291.8,145.0,134.0,12.7,4.35,0,0
DIST_IND_016,JAMMU AND KASHMIR,Doda,33.09333,75.715788,2386.21,409936,171.79,1.66,11.2,31.5,0.0,0.0,0,0,0,0,0,0,0,0.0,284.4,147.3,131.4,5.8,2.04,1,0
DIST_IND_017,JAMMU AND KASHMIR,Ramban,33.311353,75.197877,1231.63,283713,230.36,2.7,17.7,51.3,0.0,0.0,0,0,0,0,0,0,0,0.0,262.8,158.39999999999998,98.8,5.6,2.13,0,0
DIST_IND_018,JAMMU AND KASHMIR,Kishtwar,33.549854,75.971949,8090.16,230696,28.52,,,,,,0,0,0,0,0,0,0,0.0,288.1,173.6,107.7,6.9,2.4,0,0
DIST_IND_019,JAMMU AND KASHMIR,Udhampur,32.896225,75.301096,2222.15,554985,249.75,15.24,56.0,289.6,0.0,0.0,0,0,0,0,0,0,0,0.0,290.6,190.3,95.0,5.4,1.86,3,0
DIST_IND_020,JAMMU AND KASHMIR,Reasi,33.232285,74.835537,2029.11,314667,155.08,,,,,,0,0,0,0,0,0,0,0.0,271.6,139.7,128.4,3.5,1.29,0,0
DIST_IND_021,JAMMU AND KASHMIR,Jammu,32.798473,74.751503,2304.04,1529958,664.03,7.31,46.2,138.8,0.0,0.0,0,0,0,0,0,0,0,0.0,295.5,193.39999999999998,89.8,12.2,4.13,51,0
DIST_IND_022,JAMMU AND KASHMIR,Samba,32.581386,75.090066,907.36,318898,351.46,10.24,85.0,194.5,0.0,1.0,0,0,0,0,0,1,2,0.0,297.9,214.60000000000002,76.0,7.2,2.42,0,0
DIST_IND_023,HIMACHAL PRADESH,Chamba,32.674047,76.349496,6388.89,519080,81.25,3.9,21.7,74.1,0.0,0.0,0,0,0,0,0,0,0,0.0,286.8,195.7,86.4,4.8,1.67,31,0
DIST_IND_024,HIMACHAL PRADESH,Kangra,32.108556,76.315611,5632.52,1510075,268.1,19.15,88.5,363.9,0.0,1.0,0,0,0,0,0,0,0,0.0,294.0,221.8,67.8,4.4,1.5,84,0
DIST_IND_025,HIMACHAL PRADESH,Lahul AND Spiti,32.479075,77.61576,13634.35,31564,2.32,0.25,3.5,4.7,0.0,0.0,0,0,0,0,0,0,0,0.0,197.4,129.0,66.8,1.6,0.81,12,0
DIST_IND_026,HIMACHAL PRADESH,Kullu,31.902052,77.399154,5379.32,437903,81.4,2.86,15.8,54.4,0.0,0.0,0,0,0,0,0,0,0,0.0,293.7,222.7,67.3,3.5,1.19,35,0
DIST_IND_027,HIMACHAL PRADESH,Mandi,31.63669,76.991862,3867.15,999777,258.53,12.75,50.1,242.2,0.0,0.0,0,0,0,0,0,0,0,0.0,292.9,218.5,70.5,3.8,1.3,58,0
DIST_IND_028,HIMACHAL PRADESH,Hamirpur,31.667048,76.525527,1092.46,454768,416.28,,,,,,0,0,0,0,0,0,0,0.0,293.3,232.4,58.3,2.5,0.85,29,0
DIST_IND_029,HIMACHAL PRADESH,Una,31.5793,76.209878,1511.11,521173,344.89,9.59,78.5,182.2,0.0,1.0,0,0,0,0,0,0,0,0.0,295.3,213.6,73.8,7.8999999999999995,2.68,34,0
DIST_IND_030,HIMACHAL PRADESH,Bilaspur,22.182742,82.11471,3439.29,381956,111.06,,,,,,0,0,0,0,0,197,622,30.0,290.9,219.3,68.2,3.4000000000000004,1.17,20,0
DIST_IND_031,HIMACHAL PRADESH,Solan,31.045232,76.909737,1890.34,580320,306.99,7.69,35.2,146.1,0.0,0.0,0,0,0,0,0,0,0,0.0,295.4,225.5,65.0,5.1,1.73,60,0
DIST_IND_032,HIMACHAL PRADESH,Sirmaur,30.666767,77.430744,2759.19,529855,192.03,13.75,45.8,261.3,0.0,0.0,0,0,0,0,0,1,1,0.0,295.29999999999995,210.5,78.5,6.2,2.1,25,0
DIST_IND_033,HIMACHAL PRADESH,Shimla,31.197431,77.631739,5006.63,814010,162.59,5.73,21.4,108.9,0.0,0.0,0,0,0,0,0,0,0,0.0,297.2,227.4,64.2,5.6,1.88,83,0
DIST_IND_034,HIMACHAL PRADESH,Kinnaur,31.595548,78.413884,6361.32,84121,13.22,1.43,9.4,27.1,0.0,0.0,0,0,0,0,0,0,0,0.0,198.8,138.8,58.0,2.0,1.01,14,0
DIST_IND_035,PUNJAB,Gurdaspur,31.916616,75.290991,2553.27,2298323,900.15,10.63,103.4,201.9,0.0,1.0,0,0,0,0,0,3,7,0.0,290.6,136.2,133.0,21.5,7.4,81,0
DIST_IND_036,PUNJAB,Kapurthala,31.354569,75.399884,1594.79,815168,511.14,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,14,0.0,291.5,168.6,107.8,15.3,5.25,14,0
DIST_IND_037,PUNJAB,Jalandhar,31.21262,75.565614,2580.25,2193590,850.15,0.71,5.2,13.4,0.0,0.0,0,0,0,0,0,5,14,0.0,291.2,152.2,122.89999999999999,16.1,5.53,135,0
DIST_IND_038,PUNJAB,Hoshiarpur,31.624983,75.858272,3311.0,1586625,479.2,4.99,52.4,94.8,0.0,0.0,0,0,0,0,0,3,6,0.0,293.7,164.3,112.2,17.1,5.82,39,0
DIST_IND_039,PUNJAB,Shahid Bhagat Singh Nagar,31.110269,76.154308,1234.94,612310,495.82,,,,,,0,0,0,0,0,1,1,0.0,288.4,161.2,110.3,16.8,5.83,0,0
DIST_IND_040,PUNJAB,Fatehgarh Sahib,30.642186,76.376448,1125.44,600163,533.27,1.15,8.9,21.9,0.0,0.0,0,0,0,0,0,1,1,0.0,274.5,157.4,101.7,15.600000000000001,5.68,84,0
DIST_IND_041,PUNJAB,Ludhiana,30.805511,75.832985,3600.32,3498739,971.79,1.22,5.7,23.2,0.0,0.0,0,0,0,0,0,4,14,0.0,284.3,145.7,121.5,17.0,5.98,211,0
DIST_IND_042,PUNJAB,Moga,30.763092,75.171921,2178.53,995746,457.07,1.27,24.2,24.2,0.0,0.0,0,0,0,0,0,5,24,0.0,289.7,150.3,118.6,20.9,7.21,35,0
DIST_IND_043,PUNJAB,Firozpur,30.950738,74.762748,1959.7,2029074,1035.4,0.77,13.5,14.6,0.0,0.0,0,0,0,0,0,6,25,0.0,289.4,127.5,134.9,26.9,9.3,53,0
DIST_IND_044,PUNJAB,Muktsar,30.29973,74.538443,2571.03,901896,350.79,0.2,3.5,3.8,0.0,0.0,0,0,0,0,0,11,43,0.0,290.2,123.4,137.3,29.5,10.17,30,0
